ABBR,layer,patched_logit_difference,indirect_effect,normalized_restoration,count
AGA,8,4.42734375,0.00625,-0.008824408001339651,5
AGA,9,4.400390625,-0.020703125,0.16445828174415325,5
AGA,10,4.394921875,-0.026171875,-0.013028215631888093,5
AGA,11,4.41796875,-0.003125,0.09474251972470513,5
AGA,12,4.394921875,-0.026171875,0.04268772620213438,5
AGA,13,4.3984375,-0.02265625,0.02327333902530485,5
AGA,14,4.383203125,-0.037890625,0.03857800432194216,5
AGA,15,4.396484375,-0.024609375,0.04560225569981856,5
AGA,16,4.36953125,-0.0515625,0.023737634852681516,5
AGA,17,4.388671875,-0.032421875,0.03053096956015914,5
AGA,18,4.407421875,-0.013671875,0.07670210611443441,5
AGA,19,4.394140625,-0.026953125,0.10958023131302333,5
AGA,20,4.402734375,-0.018359375,0.05617981413441159,5
AGA,21,4.376953125,-0.044140625,0.024682243539819147,5
AGA,22,4.38984375,-0.03125,0.08031378186708993,5
AGA,23,4.378515625,-0.042578125,0.04007994101005351,5
AGA,24,4.3828125,-0.03828125,0.027580221064524263,5
AGA,25,4.378125,-0.04296875,0.010281966100527246,5
AGA,26,4.39609375,-0.025,0.09008733131659608,5
AGA,27,4.393359375,-0.027734375,0.09689636951967498,5
AGA,28,4.391796875,-0.029296875,0.05138671250264737,5
AGA,29,4.38828125,-0.0328125,0.03169718107657609,5
AGA,30,4.393359375,-0.027734375,0.07079752913863734,5
AGA,31,4.394140625,-0.026953125,0.049586968924752194,5
AICD,0,1.781640625,0.01484375,-0.06079710144927537,5
AICD,1,1.778125,0.011328125,-0.0009109730848861297,5
AICD,2,1.79140625,0.024609375,0.1303726708074534,5
AICD,3,1.779296875,0.0125,0.0210248447204969,5
AICD,4,1.793359375,0.0265625,0.15474120082815734,5
AICD,5,1.78046875,0.013671875,0.060196687370600424,5
AICD,6,1.777734375,0.0109375,0.04315734989648033,5
AICD,7,1.768359375,0.0015625,0.04194616977225673,5
AICD,8,1.7796875,0.012890625,0.08095238095238096,5
AICD,9,1.773046875,0.00625,0.08322981366459628,5
AICD,10,1.773046875,0.00625,-0.00942028985507246,5
