layer,head,patched_logit_difference,indirect_effect,normalized_restoration,c_to_b_patched_logit_difference,c_to_b_indirect_effect,c_to_b_normalized_restoration,indirect_effect_difference_a_minus_c
4,3,2.164409555288461,-0.0017533052884615382,-0.02062551609288015,2.1651246995192306,-0.0010381610576923076,-0.0008866234600646255,-0.0007151442307692307
4,4,2.1650766225961537,-0.0010862379807692307,-0.02929787678869267,2.164944411057692,-0.0012184495192307692,0.0005042846206180428,0.00013221153846153838
4,5,2.1612920673076923,-0.004870793269230769,-0.006702944278590791,2.1665054086538458,0.00034254807692307753,-0.0015541737329566293,-0.005213341346153846
4,6,2.1665309495192306,0.0003680889423076922,-0.04114743450013668,2.163324819711539,-0.002838040865384616,-0.000711127678136734,0.0032061298076923074
4,7,2.1687560096153846,0.002593149038461539,-0.03961987122318939,2.1630649038461534,-0.0030979567307692305,0.0016355854402549947,0.0056911057692307695
4,8,2.1663341346153846,0.00017127403846153822,-0.04405441268479523,2.1627839543269225,-0.0033789062499999995,-0.000979655398837953,0.0035501802884615385
4,9,2.1673106971153846,0.0011478365384615383,-0.03334412624383829,2.1630078124999996,-0.003155048076923077,0.0021535489862702516,0.004302884615384615
4,10,2.165615985576923,-0.0005468749999999999,-0.04351662198022153,2.1667082331730776,0.0005453725961538461,-0.0013812563070388186,-0.0010922475961538463
4,11,2.1623046875,-0.0038581730769230763,0.008247481768931132,2.1701787860576918,0.00401592548076923,0.0003209642084823513,-0.007874098557692309
4,12,2.164045973557692,-0.002116887019230769,-0.018143356522723583,2.16337890625,-0.002783954326923077,0.0013467589123191085,0.0006670673076923076
4,13,2.16466796875,-0.0014948918269230768,-0.029787645276537045,2.165943509615385,-0.00021935096153846183,-0.0005390718461180768,-0.0012755408653846152
4,14,2.1651141826923075,-0.0010486778846153844,-0.017244188935189378,2.163993389423077,-0.0021694711538461538,-0.0010550444930206612,0.0011207932692307693
4,15,2.164935396634615,-0.0012274639423076926,-0.03580017057961023,2.165120192307693,-0.0010426682692307693,0.00037425292483636775,-0.00018479567307692308
4,16,2.1649263822115383,-0.0012364783653846156,-0.008393113839447694,2.164708533653846,-0.001454326923076923,-0.0003232307384610536,0.0002178485576923077
4,17,2.1638085937500002,-0.002354266826923077,-0.012208781573564538,2.165283954326923,-0.0008789062500000002,-0.001051324319359598,-0.0014753605769230768
4,18,2.164076021634615,-0.0020868389423076925,-0.03351347165514391,2.165262920673077,-0.0008999399038461538,-0.0009547783632862752,-0.0011868990384615386
4,19,2.165808293269231,-0.0003545673076923078,-0.04962969591782599,2.1645342548076925,-0.0016286057692307693,0.0009949398271705233,0.0012740384615384612
4,20,2.163829627403846,-0.002333233173076923,-0.03168532077641785,2.1655348557692307,-0.0006280048076923072,0.0011831516900536157,-0.0017052283653846152
4,21,2.1651397235576924,-0.0010231370192307695,-0.013221772955545108,2.1645492788461542,-0.0016135817307692305,0.000974553948417199,0.0005904447115384616
4,22,2.164738581730769,-0.0014242788461538464,-0.03307509179423349,2.1660471754807693,-0.00011568509615384609,-0.002269700646734697,-0.00130859375
4,23,2.166433293269231,0.00027043269230769254,-0.04463510036161432,2.163045372596154,-0.003117487980769231,-0.001784786427067415,0.0033879206730769236
4,24,2.1656971153846154,-0.0004657451923076924,-0.01851081397795879,2.1650721153846155,-0.0010907451923076923,0.0010035473924575942,0.0006249999999999999
4,25,2.164208233173077,-0.0019546274038461536,-0.033896489412640105,2.1631911057692306,-0.002971754807692308,-0.00026904590342921434,0.0010171274038461538
4,26,2.165730168269231,-0.00043269230769230787,-0.031664348822213445,2.1658533653846157,-0.0003094951923076924,0.0007313594191014707,-0.00012319711538461532
4,27,2.1643704927884615,-0.0017923677884615387,-0.038859061910350524,2.1641000600961537,-0.002062800480769231,-0.0009335897475684873,0.00027043269230769254
4,28,2.164233774038462,-0.0019290865384615386,-0.030580636355353494,2.164831730769231,-0.0013311298076923077,-0.0006293527941169326,-0.0005979567307692307
4,29,2.166290564903846,0.00012770432692307693,-0.017846285759848993,2.1647370793269225,-0.0014257812500000002,0.001780373538473518,0.0015534855769230767
4,30,2.165350060096154,-0.0008128004807692305,-0.03243548673256696,2.1663777043269237,0.00021484375000000006,-0.0020886145304711734,-0.0010276442307692304
4,31,2.164777644230769,-0.0013852163461538461,-0.03502072893567886,2.1656234975961537,-0.0005393629807692305,0.0008156119366933807,-0.0008458533653846153
5,0,2.165271935096154,-0.0008909254807692309,-0.004213524004566819,2.1637605168269234,-0.00240234375,0.0019848211873841745,0.0015114182692307692
5,1,2.166143329326923,-1.9531249999999956e-05,-0.044577394626054034,2.165154747596154,-0.0010081129807692306,0.0006862038531582589,0.000988581730769231
5,2,2.1646784855769226,-0.0014843750000000002,-0.024149635746346088,2.16595703125,-0.00020582932692307697,0.000927009812475224,-0.001278545673076923
5,3,2.1652599158653847,-0.0009029447115384615,-0.02188204718368719,2.1663281249999997,0.00016526442307692276,-0.0017203369538713784,-0.0010682091346153847
5,4,2.163455528846154,-0.0027073317307692306,-0.03456402099257549,2.1656971153846154,-0.00046574519230769233,-0.001286897724134533,-0.0022415865384615387
5,5,2.1652734375,-0.0008894230769230768,-0.03169307417237466,2.16705078125,0.0008879206730769232,-0.002088472118408339,-0.0017773437499999998
5,6,2.1647881610576922,-0.0013746995192307696,-0.03888615643997723,2.1665309495192306,0.0003680889423076921,0.0007441288664045012,-0.0017427884615384614
